ruas_jalan,hari,periode,jenis_kendaraan,volume,panjang_jalan,faktor_emisi,vkt,emisi_g,emisi_kg,emisi_ton
Jl. Ramin,Kerja,Peak hour pagi,Motor,3457,0.3799,57.2,1313.3143,75121.57796000001,75.12157796000001,0.07512157796
Jl. Ramin,Kerja,Peak hour pagi,Mobil,384,0.3799,190.6,145.8816,27805.032959999997,27.80503296,0.02780503296
Jl. Ramin,Kerja,Peak hour pagi,Bus,5,0.3799,887.8,1.8995000000000002,1686.3761000000002,1.6863761000000002,0.0016863761
Jl. Ramin,Kerja,Peak hour interval 1,Motor,1957,0.3799,57.2,743.4643,42526.157960000004,42.526157960000006,0.042526157960000005
Jl. Ramin,Kerja,Peak hour interval 1,Mobil,230,0.3799,190.6,87.37700000000001,16654.056200000003,16.654056200000003,0.016654056200000003
Jl. Ramin,Kerja,Peak hour interval 1,Bus,11,0.3799,887.8,4.1789000000000005,3710.0274200000003,3.7100274200000003,0.0037100274200000003
Jl. Ramin,Kerja,Peak hour siang,Motor,2031,0.3799,57.2,771.5769,44134.19868,44.134198680000004,0.04413419868000001
Jl. Ramin,Kerja,Peak hour siang,Mobil,234,0.3799,190.6,88.8966,16943.69196,16.94369196,0.01694369196
Jl. Ramin,Kerja,Peak hour siang,Bus,10,0.3799,887.8,3.7990000000000004,3372.7522000000004,3.3727522000000003,0.0033727522
Jl. Ramin,Kerja,Peak hour interval 2,Motor,441,0.3799,57.2,167.5359,9583.05348,9.58305348,0.009583053480000001
Jl. Ramin,Kerja,Peak hour interval 2,Mobil,189,0.3799,190.6,71.8011,13685.28966,13.68528966,0.01368528966
Jl. Ramin,Kerja,Peak hour interval 2,Bus,3,0.3799,887.8,1.1397,1011.8256599999999,1.01182566,0.00101182566
Jl. Ramin,Kerja,Peak hour sore,Motor,1107,0.3799,57.2,420.5493,24055.419960000003,24.055419960000002,0.02405541996
Jl. Ramin,Kerja,Peak hour sore,Mobil,227,0.3799,190.6,86.2373,16436.82938,16.43682938,0.01643682938
Jl. Ramin,Kerja,Peak hour sore,Bus,11,0.3799,887.8,4.1789000000000005,3710.0274200000003,3.7100274200000003,0.0037100274200000003
Jl. Ramin,Libur,Peak hour pagi,Motor,2154,0.3799,57.2,818.3046,46807.023120000005,46.807023120000004,0.046807023120000006
Jl. Ramin,Libur,Peak hour pagi,Mobil,303,0.3799,190.6,115.1097,21939.90882,21.93990882,0.02193990882
Jl. Ramin,Libur,Peak hour pagi,Bus,7,0.3799,887.8,2.6593,2360.92654,2.36092654,0.0023609265399999997
Jl. Ramin,Libur,Peak hour interval 1,Motor,1281,0.3799,57.2,486.6519,27836.488680000002,27.836488680000002,0.027836488680000004
Jl. Ramin,Libur,Peak hour interval 1,Mobil,270,0.3799,190.6,102.57300000000001,19550.413800000002,19.5504138,0.019550413800000003
Jl. Ramin,Libur,Peak hour interval 1,Bus,0,0.3799,887.8,0.0,0.0,0.0,0.0
Jl. Ramin,Libur,Peak hour siang,Motor,954,0.3799,57.2,362.4246,20730.687120000002,20.730687120000002,0.020730687120000004
Jl. Ramin,Libur,Peak hour siang,Mobil,176,0.3799,190.6,66.86240000000001,12743.973440000002,12.743973440000001,0.012743973440000002
Jl. Ramin,Libur,Peak hour siang,Bus,0,0.3799,887.8,0.0,0.0,0.0,0.0
Jl. Ramin,Libur,Peak hour interval 2,Motor,564,0.3799,57.2,214.2636,12255.87792,12.255877920000001,0.012255877920000002
Jl. Ramin,Libur,Peak hour interval 2,Mobil,122,0.3799,190.6,46.3478,8833.89068,8.83389068,0.00883389068
Jl. Ramin,Libur,Peak hour interval 2,Bus,0,0.3799,887.8,0.0,0.0,0.0,0.0
Jl. Ramin,Libur,Peak hour sore,Motor,956,0.3799,57.2,363.18440000000004,20774.147680000002,20.774147680000002,0.02077414768
Jl. Ramin,Libur,Peak hour sore,Mobil,142,0.3799,190.6,53.945800000000006,10282.06948,10.28206948,0.010282069480000001
Jl. Ramin,Libur,Peak hour sore,Bus,0,0.3799,887.8,0.0,0.0,0.0,0.0
Jl. Ramin,Kerja,Rata-rata Harian,Motor,1720,0.3799,57.2,653.428,37376.081600000005,37.376081600000006,0.037376081600000007
Jl. Ramin,Kerja,Rata-rata Harian,Mobil,236,0.3799,190.6,89.6564,17088.50984,17.08850984,0.017088509840000002
Jl. Ramin,Kerja,Rata-rata Harian,Bus,7,0.3799,887.8,2.6593,2360.92654,2.36092654,0.0023609265399999997
Jl. Ramin,Libur,Rata-rata Harian,Motor,1229,0.3799,57.2,466.8971,26706.514120000003,26.706514120000005,0.026706514120000004
Jl. Ramin,Libur,Rata-rata Harian,Mobil,194,0.3799,190.6,73.70060000000001,14047.33436,14.04733436,0.01404733436
Jl. Ramin,Libur,Rata-rata Harian,Bus,2,0.3799,887.8,0.7598,674.55044,0.67455044,0.00067455044
Jl. Meranti,Kerja,Peak hour pagi,Motor,2542,0.8093,57.2,2057.2406,117674.16232000002,117.67416232000002,0.11767416232000003
Jl. Meranti,Kerja,Peak hour pagi,Mobil,329,0.8093,190.6,266.2597,50749.09882,50.74909882,0.05074909882
Jl. Meranti,Kerja,Peak hour pagi,Bus,29,0.8093,887.8,23.4697,20836.39966,20.836399659999998,0.020836399659999998
Jl. Meranti,Kerja,Peak hour interval 1,Motor,1861,0.8093,57.2,1506.1073000000001,86149.33756000001,86.14933756000002,0.08614933756000002
Jl. Meranti,Kerja,Peak hour interval 1,Mobil,196,0.8093,190.6,158.6228,30233.505680000002,30.23350568,0.03023350568
Jl. Meranti,Kerja,Peak hour interval 1,Bus,10,0.8093,887.8,8.093,7184.9654,7.1849654,0.0071849654
Jl. Meranti,Kerja,Peak hour siang,Motor,1774,0.8093,57.2,1435.6982,82121.93704,82.12193704,0.08212193704000001
Jl. Meranti,Kerja,Peak hour siang,Mobil,221,0.8093,190.6,178.8553,34089.82018,34.089820180000004,0.03408982018
Jl. Meranti,Kerja,Peak hour siang,Bus,11,0.8093,887.8,8.9023,7903.46194,7.903461940000001,0.00790346194
Jl. Meranti,Kerja,Peak hour interval 2,Motor,1213,0.8093,57.2,981.6809000000001,56152.14748000001,56.152147480000004,0.056152147480000004
Jl. Meranti,Kerja,Peak hour interval 2,Mobil,195,0.8093,190.6,157.8135,30079.2531,30.079253100000003,0.0300792531
Jl. Meranti,Kerja,Peak hour interval 2,Bus,7,0.8093,887.8,5.6651,5029.47578,5.029475779999999,0.00502947578
Jl. Meranti,Kerja,Peak hour sore,Motor,1696,0.8093,57.2,1372.5728000000001,78511.16416000001,78.51116416000002,0.07851116416000002
Jl. Meranti,Kerja,Peak hour sore,Mobil,264,0.8093,190.6,213.6552,40722.68112,40.722681120000004,0.04072268112000001
